,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
2534,LOC_Os05g33820,LOC_Os05g33820,LOC_Os05g33820,Chr5:19934612-19938244,24h-DDW,24h-incom,OK,19.8191,31.3512,0.66163,2.19715,0.0004,0.0012052999999999999,yes
2543,LOC_Os02g09510,LOC_Os02g09510,LOC_Os02g09510,Chr2:4888512-4890159,24h-DDW,24h-incom,OK,55.84,88.5742,0.665588,2.10899,0.0003,0.000925838,yes
2717,LOC_Os01g72600,LOC_Os01g72600,LOC_Os01g72600,Chr1:42122516-42123788,24h-DDW,24h-incom,OK,2.95916,4.9645,0.746459,1.53232,0.0106,0.0229553,yes
2812,LOC_Os06g49750,LOC_Os06g49750,LOC_Os06g49750,Chr6:30092165-30093513,24h-DDW,24h-incom,OK,1.54139,2.66888,0.792001,1.36062,0.02155,0.0430452,yes
2973,LOC_Os01g41770,LOC_Os01g41770,LOC_Os01g41770,Chr1:23639653-23642880,24h-DDW,24h-incom,OK,0.913933,1.6858099999999998,0.883278,1.76326,0.003,0.00744343,yes
2996,LOC_Os10g39770,LOC_Os10g39770,LOC_Os10g39770,Chr10:21271713-21276803,24h-DDW,24h-incom,OK,7.76403,14.443,0.895488,2.87561,5e-05,0.000174357,yes
3005,LOC_Os01g41750,LOC_Os01g41750,LOC_Os01g41750,Chr1:23631764-23635375,24h-DDW,24h-incom,OK,3.7382400000000002,6.979830000000001,0.900834,2.61625,5e-05,0.000174357,yes
3220,LOC_Os08g30520,LOC_Os08g30520,LOC_Os08g30520,Chr8:18776757-18778781,24h-DDW,24h-incom,OK,1.5447,3.20955,1.05505,2.10565,0.0006,0.00174514,yes
3222,LOC_Os05g02450,LOC_Os05g02450,LOC_Os05g02450,Chr5:835593-838452,24h-DDW,24h-incom,OK,15.540999999999999,32.3136,1.05606,3.40799,5e-05,0.000174357,yes
3381,LOC_Os08g42960,LOC_Os08g42960,LOC_Os08g42960,Chr8:27156468-27160507,24h-DDW,24h-incom,OK,4.3849599999999995,10.1507,1.21095,3.55239,5e-05,0.000174357,yes
3474,LOC_Os07g35480,LOC_Os07g35480,LOC_Os07g35480,Chr7:21223249-21225911,24h-DDW,24h-incom,OK,29.8535,74.4283,1.31795,4.22249,5e-05,0.000174357,yes
3609,LOC_Os07g37280,LOC_Os07g37280,LOC_Os07g37280,Chr7:22340089-22341401,24h-DDW,24h-incom,OK,11.5388,33.2227,1.52568,3.31072,5e-05,0.000174357,yes
3765,LOC_Os03g08330,LOC_Os03g08330,LOC_Os03g08330,Chr3:4248883-4249985,24h-DDW,24h-incom,OK,3.9095,13.9777,1.83807,4.19616,5e-05,0.000174357,yes
3794,LOC_Os12g04690,LOC_Os12g04690,LOC_Os12g04690,Chr12:1986250-1989234,24h-DDW,24h-incom,OK,0.533474,1.98023,1.89217,3.22979,5e-05,0.000174357,yes
3799,LOC_Os04g52800,LOC_Os04g52800,LOC_Os04g52800,Chr4:31434935-31435955,24h-DDW,24h-incom,OK,0.377133,1.41032,1.90288,1.7303,0.0182,0.0370676,yes
3900,LOC_Os06g33880,LOC_Os06g33880,LOC_Os06g33880,Chr6:19701307-19702378,24h-DDW,24h-incom,OK,7.24212,34.6985,2.26039,5.98192,5e-05,0.000174357,yes
3944,LOC_Os06g22290,LOC_Os06g22290,LOC_Os06g22290,Chr6:12931778-12934695,24h-DDW,24h-incom,OK,0.377244,2.10117,2.47762,3.79563,5e-05,0.000174357,yes
4040,LOC_Os07g40080,LOC_Os07g40080,LOC_Os07g40080,Chr7:24055000-24055950,24h-DDW,24h-incom,OK,1.25635,11.3365,3.17366,4.96478,5e-05,0.000174357,yes
4070,LOC_Os01g40260,LOC_Os01g40260,LOC_Os01g40260,Chr1:22731942-22733240,24h-DDW,24h-incom,OK,0.34174899999999997,4.0605400000000005,3.57066,3.43292,0.00105,0.00289934,yes
4417,LOC_Os01g03890,LOC_Os01g03890,LOC_Os01g03890,Chr1:1657314-1658388,24h-DDW,24h-incom,NOTEST,0.20051300000000002,0.515588,1.36253,0,1.0,1.0,no
4419,LOC_Os01g03914,LOC_Os01g03914,LOC_Os01g03914,Chr1:1673009-1680632,24h-DDW,24h-incom,OK,26.049,31.2591,0.263051,0.879905,0.126,0.198327,no
4929,LOC_Os01g09900,LOC_Os01g09900,LOC_Os01g09900,Chr1:5148693-5150648,24h-DDW,24h-incom,NOTEST,0.0,0.107964,inf,0,1.0,1.0,no
4959,LOC_Os01g10260,LOC_Os01g10260,LOC_Os01g10260,Chr1:5401400-5402015,24h-DDW,24h-incom,NOTEST,0.945371,0.30588000000000004,-1.62792,0,1.0,1.0,no
5267,LOC_Os01g13930,LOC_Os01g13930,LOC_Os01g13930,Chr1:7804165-7805842,24h-DDW,24h-incom,OK,2.19941,2.13707,-0.0414874,-0.0783646,0.885,0.9190280000000001,no
8293,LOC_Os01g52810,LOC_Os01g52810,LOC_Os01g52810,Chr1:30381098-30383392,24h-DDW,24h-incom,OK,29.4602,30.0743,0.0297633,0.0956216,0.86765,0.9064709999999999,no
9345,LOC_Os01g65480,LOC_Os01g65480,LOC_Os01g65480,Chr1:38009625-38012278,24h-DDW,24h-incom,OK,1.2108,0.907568,-0.415888,-0.629081,0.2663,0.364057,no
9346,LOC_Os01g65490,LOC_Os01g65490,LOC_Os01g65490,Chr1:38012797-38014299,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
9661,LOC_Os01g69290,LOC_Os01g69290,LOC_Os01g69290,Chr1:40285365-40287178,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
9913,LOC_Os01g73040,LOC_Os01g73040,LOC_Os01g73040,Chr1:42377193-42381600,24h-DDW,24h-incom,OK,2.17785,1.70335,-0.354528,-0.71076,0.21565,0.308654,no
10181,LOC_Os02g02380,LOC_Os02g02380,LOC_Os02g02380,Chr2:795065-796280,24h-DDW,24h-incom,NOTEST,0.0,0.07073,inf,0,1.0,1.0,no
10887,LOC_Os02g10740,LOC_Os02g10740,LOC_Os02g10740,Chr2:5663003-5668429,24h-DDW,24h-incom,OK,2.02555,2.48617,0.295606,0.694657,0.22755,0.322085,no
11109,LOC_Os02g13660,LOC_Os02g13660,LOC_Os02g13660,Chr2:7323775-7325175,24h-DDW,24h-incom,OK,1.35693,1.9874,0.550541,0.769364,0.1821,0.268847,no
13645,LOC_Os02g43850,LOC_Os02g43850,LOC_Os02g43850,Chr2:26476655-26481238,24h-DDW,24h-incom,OK,11.0632,12.2533,0.147396,0.439112,0.44595,0.550733,no
15445,LOC_Os03g06700,LOC_Os03g06700,LOC_Os03g06700,Chr3:3402620-3404272,24h-DDW,24h-incom,NOTEST,0.0,0.0211743,inf,0,1.0,1.0,no
15725,LOC_Os03g10390,LOC_Os03g10390,LOC_Os03g10390,Chr3:5294522-5297025,24h-DDW,24h-incom,NOTEST,0.728065,0.745895,0.0349053,0,1.0,1.0,no
15885,LOC_Os03g12270,LOC_Os03g12270,LOC_Os03g12270,Chr3:6453081-6455593,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
16468,LOC_Os03g19200,LOC_Os03g19200,LOC_Os03g19200,Chr3:10772279-10775798,24h-DDW,24h-incom,NOTEST,0.431359,0.267016,-0.691963,0,1.0,1.0,no
17097,LOC_Os03g27080,LOC_Os03g27080,LOC_Os03g27080,Chr3:15504378-15507731,24h-DDW,24h-incom,OK,41.3236,48.9565,0.244533,0.818274,0.15915,0.24058400000000002,no
17302,LOC_Os03g30040,LOC_Os03g30040,LOC_Os03g30040,Chr3:17137806-17138638,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
17846,LOC_Os03g37610,LOC_Os03g37610,LOC_Os03g37610,Chr3:20857808-20861747,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
18426,LOC_Os03g44650,LOC_Os03g44650,LOC_Os03g44650,Chr3:25139519-25140594,24h-DDW,24h-incom,NOTEST,0.0,0.070411,inf,0,1.0,1.0,no
20625,LOC_Os04g08034,LOC_Os04g08034,LOC_Os04g08034,Chr4:4274884-4290697,24h-DDW,24h-incom,OK,10.6336,10.2649,-0.050914,-0.161053,0.7806,0.840621,no
22550,LOC_Os04g30420,LOC_Os04g30420,LOC_Os04g30420,Chr4:18168722-18172037,24h-DDW,24h-incom,OK,3.96898,3.75155,-0.0812794,-0.1765,0.75685,0.8221510000000001,no
22656,LOC_Os04g31610,LOC_Os04g31610,LOC_Os04g31610,Chr4:18905454-18907157,24h-DDW,24h-incom,OK,9.20449,11.0044,0.257668,0.721092,0.2095,0.30146100000000003,no
22879,LOC_Os04g34260,LOC_Os04g34260,LOC_Os04g34260,Chr4:20749721-20754272,24h-DDW,24h-incom,NOTEST,0.0,0.00774683,inf,0,1.0,1.0,no
24079,LOC_Os04g49420,LOC_Os04g49420,LOC_Os04g49420,Chr4:29485141-29489558,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
24158,LOC_Os04g50200,LOC_Os04g50200,LOC_Os04g50200,Chr4:29958105-29959638,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
24340,LOC_Os04g52750,LOC_Os04g52750,LOC_Os04g52750,Chr4:31410504-31410993,24h-DDW,24h-incom,NOTEST,0.0,0.24046599999999999,inf,0,1.0,1.0,no
24492,LOC_Os04g54520,LOC_Os04g54520,LOC_Os04g54520,Chr4:32430028-32432681,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
25086,LOC_Os05g02600,LOC_Os05g02600,LOC_Os05g02600,Chr5:905909-906725,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
27140,LOC_Os05g27170,LOC_Os05g27170,LOC_Os05g27170,Chr5:15807141-15811008,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
27580,LOC_Os05g32530,LOC_Os05g32530,LOC_Os05g32530,Chr5:19010876-19019771,24h-DDW,24h-incom,OK,3.9369400000000003,3.65887,-0.105678,-0.307852,0.58975,0.682998,no
27581,LOC_Os05g32544,LOC_Os05g32544,LOC_Os05g32544,Chr5:19021690-19030855,24h-DDW,24h-incom,OK,9.02864,8.097339999999999,-0.15706,-0.484471,0.3995,0.5051359999999999,no
28052,LOC_Os05g38410,LOC_Os05g38410,LOC_Os05g38410,Chr5:22526730-22528707,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
29150,LOC_Os05g51780,LOC_Os05g51780,LOC_Os05g51780,Chr5:29718181-29719699,24h-DDW,24h-incom,OK,0.8993110000000001,1.3398299999999999,0.575162,0.831801,0.1484,0.227023,no
30996,LOC_Os06g22150,LOC_Os06g22150,LOC_Os06g22150,Chr6:12860092-12860590,24h-DDW,24h-incom,OK,0.633509,1.8122,1.51631,1.04345,0.1676,0.25100300000000003,no
31885,LOC_Os06g32970,LOC_Os06g32970,LOC_Os06g32970,Chr6:19195773-19196490,24h-DDW,24h-incom,NOTEST,0.05516939999999999,0.286932,2.37877,0,1.0,1.0,no
31886,LOC_Os06g33000,LOC_Os06g33000,LOC_Os06g33000,Chr6:19208852-19211948,24h-DDW,24h-incom,NOTEST,0.0,0.014263900000000001,inf,0,1.0,1.0,no
32786,LOC_Os06g43030,LOC_Os06g43030,LOC_Os06g43030,Chr6:25867746-25876328,24h-DDW,24h-incom,OK,11.8212,11.0317,-0.0997173,-0.306796,0.5975,0.689738,no
32787,LOC_Os06g43044,LOC_Os06g43044,LOC_Os06g43044,Chr6:25867746-25876328,24h-DDW,24h-incom,NOTEST,0.0425139,0.028220799999999997,-0.591178,0,1.0,1.0,no
36787,LOC_Os07g39210,LOC_Os07g39210,LOC_Os07g39210,Chr7:23479718-23480747,24h-DDW,24h-incom,NOTEST,0.10376700000000001,0.127814,0.300696,0,1.0,1.0,no
36806,LOC_Os07g39440,LOC_Os07g39440,LOC_Os07g39440,Chr7:23624363-23626892,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
37046,LOC_Os07g42220,LOC_Os07g42220,LOC_Os07g42220,Chr7:25273383-25273982,24h-DDW,24h-incom,OK,30.3061,26.8217,-0.176206,-0.487171,0.39835,0.5039939999999999,no
37049,LOC_Os07g42260,LOC_Os07g42260,LOC_Os07g42260,Chr7:25287510-25293793,24h-DDW,24h-incom,OK,2.18075,3.25988,0.579996,0.776152,0.1878,0.27572399999999997,no
38138,LOC_Os08g06200,LOC_Os08g06200,LOC_Os08g06200,Chr8:3420568-3424752,24h-DDW,24h-incom,OK,11.3852,13.9436,0.292444,0.887591,0.11905,0.189251,no
39319,LOC_Os08g19470,LOC_Os08g19470,LOC_Os08g19470,Chr8:11630389-11631400,24h-DDW,24h-incom,NOTEST,0.38243299999999997,0.511255,0.418836,0,1.0,1.0,no
40389,LOC_Os08g31660,LOC_Os08g31660,LOC_Os08g31660,Chr8:19610443-19612183,24h-DDW,24h-incom,OK,3.43654,3.60115,0.0675009,0.150788,0.79575,0.8523860000000001,no
40394,LOC_Os08g31720,LOC_Os08g31720,LOC_Os08g31720,Chr8:19655354-19656028,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
40395,LOC_Os08g31730,LOC_Os08g31730,LOC_Os08g31730,Chr8:19662518-19663097,24h-DDW,24h-incom,OK,9.68091,6.293019999999999,-0.621389,-0.817734,0.1566,0.23740799999999998,no
40428,LOC_Os08g32060,LOC_Os08g32060,LOC_Os08g32060,Chr8:19875265-19877699,24h-DDW,24h-incom,NOTEST,0.112881,0.392783,1.79894,0,1.0,1.0,no
40436,LOC_Os08g32130,LOC_Os08g32130,LOC_Os08g32130,Chr8:19937055-19940521,24h-DDW,24h-incom,OK,12.8226,15.3132,0.256084,0.769985,0.18255,0.269408,no
41568,LOC_Os08g44870,LOC_Os08g44870,LOC_Os08g44870,Chr8:28183815-28185866,24h-DDW,24h-incom,OK,10.3268,8.18417,-0.335481,-0.958128,0.0969,0.158893,no
42702,LOC_Os09g13680,LOC_Os09g13680,LOC_Os09g13680,Chr9:7995737-7996963,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
44755,LOC_Os09g39920,LOC_Os09g39920,LOC_Os09g39920,Chr9:22897188-22902631,24h-DDW,24h-incom,NOTEST,0.0163473,0.0,#NAME?,0,1.0,1.0,no
46504,LOC_Os10g23050,LOC_Os10g23050,LOC_Os10g23050,Chr10:12015872-12017745,24h-DDW,24h-incom,OK,6.2682,7.69297,0.295488,0.747979,0.1918,0.28047,no
46635,LOC_Os10g24920,LOC_Os10g24920,LOC_Os10g24920,Chr10:12828016-12832364,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
46781,LOC_Os10g26680,LOC_Os10g26680,LOC_Os10g26680,Chr10:13932901-13935299,24h-DDW,24h-incom,OK,29.6263,34.6751,0.227021,0.74468,0.19295,0.281869,no
47237,LOC_Os10g32700,LOC_Os10g32700,LOC_Os10g32700,Chr10:17116301-17124776,24h-DDW,24h-incom,NOTEST,0.210508,0.461858,1.13357,0,1.0,1.0,no
48617,LOC_Os11g07130,LOC_Os11g07130,LOC_Os11g07130,Chr11:3548133-3553932,24h-DDW,24h-incom,NOTEST,0.0,0.0331798,inf,0,1.0,1.0,no
49271,LOC_Os11g14900,LOC_Os11g14900,LOC_Os11g14900,Chr11:8379341-8382036,24h-DDW,24h-incom,NOTEST,0.0,0.0,0,0,1.0,1.0,no
51644,LOC_Os11g43840,LOC_Os11g43840,LOC_Os11g43840,Chr11:26479884-26480423,24h-DDW,24h-incom,NOTEST,0.0,0.843993,inf,0,1.0,1.0,no
52153,LOC_Os12g02700,LOC_Os12g02700,LOC_Os12g02700,Chr12:944438-945547,24h-DDW,24h-incom,OK,2.3279799999999997,2.75236,0.241592,0.417714,0.46705,0.5708449999999999,no
52274,LOC_Os12g04100,LOC_Os12g04100,LOC_Os12g04100,Chr12:1716157-1718032,24h-DDW,24h-incom,NOTEST,0.20722100000000002,0.30140100000000003,0.54051,0,1.0,1.0,no
55203,LOC_Os12g37564,LOC_Os12g37564,LOC_Os12g37564,Chr12:23054321-23055565,24h-DDW,24h-incom,NOTEST,0.0,0.203789,inf,0,1.0,1.0,no
55623,LOC_Os12g42280,LOC_Os12g42280,LOC_Os12g42280,Chr12:26268229-26270794,24h-DDW,24h-incom,NOTEST,0.0502408,0.0463017,-0.117792,0,1.0,1.0,no
55653,LOC_Os12g42610,LOC_Os12g42610,LOC_Os12g42610,Chr12:26477632-26487388,24h-DDW,24h-incom,OK,3.41824,4.03461,0.239174,0.541732,0.3438,0.447849,no
